"QTL1","Log Like - Additive","Log Like - Dominant","Log Like - Full","Log Like - D-Additive","Log Like - D-Dominant","Log Like - D-Full"
"59",30,2655.55937181577,2670.97204250586,2709.72878133794,2719.86080242303,2735.50687321926,2749.2557610625
"60",30,2655.55937181577,2670.97204250586,2709.72878133794,2719.86080242303,2735.50687321926,2749.2557610625
"61",31,2655.55934800328,2670.97100812426,2709.71591251843,2719.84932394035,2735.48227857044,2749.22792653157
"62",31,2655.55934800328,2670.97100812426,2709.71591251843,2719.84932394035,2735.48227857044,2749.22792653157
"63",32,2655.55931349336,2670.97089765012,2709.73688141313,2719.8702823488,2735.5012358644,2749.25126265356
"64",32,2655.55931349336,2670.97089765012,2709.73688141313,2719.8702823488,2735.5012358644,2749.25126265356
"65",33,2655.55927547164,2670.97491428999,2709.77549826232,2719.90769458425,2735.53346172131,2749.2895693347
"66",33,2655.55927547164,2670.97491428999,2709.77549826232,2719.90769458425,2735.53346172131,2749.2895693347
"67",34,2655.55924865096,2670.96403571676,2709.74266108086,2719.87730785282,2735.49363930215,2749.25621408193
"68",34,2655.55924865096,2670.96403571676,2709.74266108086,2719.87730785282,2735.49363930215,2749.25621408193
"69",35,2655.55921665814,2670.96359590139,2709.74408022423,2719.88053833895,2735.49616534028,2749.26556177825
"70",35,2655.55921665814,2670.96359590139,2709.74408022423,2719.88053833895,2735.49616534028,2749.26556177825
"71",36,2655.55918319163,2670.96598508111,2709.76272853274,2719.90113111053,2735.50698454664,2749.2762938349
"72",36,2655.55918319163,2670.96598508111,2709.76272853274,2719.90113111053,2735.50698454664,2749.2762938349
"73",37,2655.55915172868,2670.96160706796,2709.74444250411,2719.88446703366,2735.48806713445,2749.26833717182
"74",37,2655.55915172868,2670.96160706796,2709.74444250411,2719.88446703366,2735.48806713445,2749.26833717182
"75",38,2655.55911728613,2670.95895155264,2709.76829089497,2719.90822869248,2735.50932376481,2749.17567943486
"76",38,2655.55911728613,2670.95895155264,2709.76829089497,2719.90822869248,2735.50932376481,2749.17567943486
"77",39,2655.55908859629,2670.95764195252,2709.75338089679,2719.8954292368,2735.48839349938,2749.16062178665
"78",39,2655.55908859629,2670.95764195252,2709.75338089679,2719.8954292368,2735.48839349938,2749.16062178665
"79",40,2655.5590384849,2670.97022821154,2709.808082677,2719.94888315575,2735.54678062967,2749.22643446634
"80",40,2655.5590384849,2670.97022821154,2709.808082677,2719.94888315575,2735.54678062967,2749.22643446634
"81",41,2655.55900932555,2670.95863772497,2709.79239243814,2719.93428048179,2735.52486698779,2749.20942795222
"82",41,2655.55900932555,2670.95863772497,2709.79239243814,2719.93428048179,2735.52486698779,2749.20942795222
